Location,Latitude,Longitude,Site,Space_Center_Name,Country
"SLC-20, Cape Canaveral AFS, Florida, USA",28.4383,-80.5731,SLC-20,Cape Canaveral AFS,USA
"Mayak-2, Kapustin Yar, Russia",48.567,46.295,Mayak-2,Kapustin Yar,Russia
"SLC-5, Vandenberg AFB, California, USA",34.5843,-120.6269,SLC-5,Vandenberg AFB,USA
"LA-3, Wallops Flight Facility, Virginia, USA",37.8387,-75.478,LA-3,Wallops Flight Facility,USA
"SLC-1E (75-3-5), Vandenberg AFB, California, USA",34.5843,-120.6269,SLC-1E (75-3-5),Vandenberg AFB,USA
"SLC-2E (75-1-1), Vandenberg AFB, California, USA",34.5843,-120.6269,SLC-2E (75-1-1),Vandenberg AFB,USA
"SLC-1W (75-3-4), Vandenberg AFB, California, USA",34.5843,-120.6269,SLC-1W (75-3-4),Vandenberg AFB,USA
"LC-18B, Cape Canaveral AFS, Florida, USA",28.4383,-80.5731,LC-18B,Cape Canaveral AFS,USA
"LC-5, Cape Canaveral AFS, Florida, USA",28.4383,-80.5731,LC-5,Cape Canaveral AFS,USA
"LC-18A, Cape Canaveral AFS, Florida, USA",28.4383,-80.5731,LC-18A,Cape Canaveral AFS,USA
"LC-11, Cape Canaveral AFS, Florida, USA",28.4383,-80.5731,LC-11,Cape Canaveral AFS,USA
"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",34.1192,-119.1219,Douglas F4D Skyray,Naval Air Station Point Mugu,USA
"LC-26A, Cape Canaveral AFS, Florida, USA",28.4383,-80.5731,LC-26A,Cape Canaveral AFS,USA
